s.no.,name,Company-Name,Location,Year,Kilometers_Driven,Fuel_type,Transmission,Owner_type,Mileage,Engine,power,seats,New_price,Price,Depreciation_percent
92,"Audi A6 2011-2015 35 TDI Premium",Audi,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,,39.58,NULL
93,"Ford Ecosport 1.5 DV5 MT Titanium Optional",Ford,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,,5.5,NULL
94,"Mahindra XUV500 W8 2WD",Mahindra,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140,7,,8.1,NULL
95,"Honda Amaze SX i-DTEC",Honda,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,,3.5,NULL
96,"Volkswagen Polo Diesel Highline 1.2L",Volkswagen,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,,2.79,NULL
97,"Hyundai Verna Transform SX VGT CRDi",Hyundai,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110,5,,3.45,NULL
98,"Maruti Wagon R VXI BS IV",Maruti,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,,4.45,NULL
99,"Volkswagen Polo Petrol Highline 1.6L",Volkswagen,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,,2.65,NULL
100,"Hyundai i20 1.4 CRDi Sportz",Hyundai,Pune,2011,78958,Diesel,Manual,Second,23,1396,90,5,,3.8,NULL
101,"Hyundai i20 Asta 1.2",Hyundai,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,,4.65,NULL
102,"Datsun GO Plus T Petrol",Datsun,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67,7,6.45,3.95,38.75968992248062
103,"Audi A4 3.0 TDI Quattro Premium",Audi,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,,9.8,NULL
104,"Hyundai i20 2015-2017 Asta",Hyundai,Pune,2009,66000,Petrol,Manual,Second,17,1197,80,5,,2.7,NULL
105,"Maruti Omni 5 Str STD",Maruti,Coimbatore,2010,93850,Petrol,Manual,First,14,796,35,5,,2.41,NULL
106,"Toyota Etios Liva 1.2 G",Toyota,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,6.41,3.9,39.15756630265211
107,"Jaguar XF 3.0 Litre S Premium Luxury",Jaguar,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,,24,NULL
108,"Mahindra XUV500 W8 2WD",Mahindra,Delhi,2012,65000,Diesel,Manual,Second,16,2179,140,7,,5.75,NULL
109,"Hyundai Verna 1.6 SX CRDI (O) AT",Hyundai,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,,5.25,NULL
110,"Toyota Innova Crysta 2.8 ZX AT",Toyota,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,27,19.25,28.703703703703702
111,"Maruti Eeco 5 Seater AC",Maruti,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73,5,5.13,3.91,23.781676413255358
112,"Tata Nano Twist XT",Tata,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,,2.15,NULL
113,"BMW 3 Series 320d Luxury Line",BMW,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190,5,54.43,20.75,61.877641006797724
114,"Honda Civic 2006-2010 1.8 V MT",Honda,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130,5,,3.35,NULL
115,"Toyota Innova 2.5 VX (Diesel) 7 Seater",Toyota,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,,11.11,NULL
116,"Volvo V40 Cross Country D3",Volvo,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150,5,,20,NULL
117,"Nissan Micra XV CVT",Nissan,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,9.51,6.55,31.125131440588856
118,"BMW 5 Series 2010-2013 525i",BMW,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215,5,,7,NULL
119,"Maruti Vitara Brezza VDi",Maruti,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,9.96,7.5,24.6987951807229
120,"Hyundai Santro Xing XL eRLX Euro III",Hyundai,Mumbai,2005,102000,Petrol,Manual,Second,17,1086,NULL,5,,0.85,NULL
121,"Mercedes-Benz B Class B200 CDI",Mercedes-Benz,Pune,2014,53753,Diesel,Automatic,Second,15,2143,107.3,5,,16.75,NULL
122,"Hyundai Verna CRDi 1.6 SX Option",Hyundai,Kolkata,2018,10250,Diesel,Manual,First,22,1582,126.2,5,14.44,10.95,24.16897506925208
123,"Maruti Wagon R LXI BS IV",Maruti,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,,2.45,NULL
124,"Tata Nano XTA",Tata,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,,3.23,NULL
125,"Mahindra Scorpio VLX",Mahindra,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120,8,,7.75,NULL
126,"Mercedes-Benz New C-Class 200 K AT",Mercedes-Benz,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178,5,,9.35,NULL
127,"Maruti Wagon R LXI CNG",Maruti,Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5,,3.25,NULL
128,"Honda CR-V 2.4 MT",Honda,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152,5,,5.25,NULL
129,"Volkswagen Vento 1.5 TDI Comfortline AT",Volkswagen,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,,7.25,NULL
130,"Maruti Ciaz VXi Plus",Maruti,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,,7.47,NULL
131,"Mahindra XUV500 AT W10 FWD",Mahindra,Jaipur,2016,54000,Diesel,Automatic,First,16,2179,140,7,,13.25,NULL
132,"Maruti Ritz VXI ABS",Maruti,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,,5.81,NULL
133,"Maruti Alto K10 VXI",Maruti,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,4.53,2.6,42.60485651214128
134,"Mercedes-Benz SLC 43 AMG",Mercedes-Benz,Kolkata,2017,13372,Petrol,Automatic,First,19,2996,362.07,2,95.04,54,43.18181818181819
135,"Hyundai Verna VTVT 1.6 AT SX Plus",Hyundai,Kochi,2019,12645,Petrol,Automatic,First,17,1591,121.3,5,13.49,11.5,14.751667902149743
136,"Maruti Alto LXi BSIII",Maruti,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,,1.6,NULL
137,"BMW 1 Series 118d Base",BMW,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143,5,,17.22,NULL
138,"Honda Jazz 1.2 V CVT i VTEC",Honda,Mumbai,2015,12000,Petrol,Automatic,First,19,1199,88.7,5,,6,NULL
139,"Honda Civic 2006-2010 1.8 V MT",Honda,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130,5,,3.95,NULL
140,"Mercedes-Benz New C-Class C 220 CDI Avantgarde",Mercedes-Benz,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170,5,,17.95,NULL
141,"Honda Amaze SX i-DTEC",Honda,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,,3.7,NULL
142,"Maruti Swift VVT VXI",Maruti,Kochi,2016,34204,Petrol,Manual,First,22,1197,81.8,5,,5.43,NULL
143,"Hyundai Santro Xing XO eRLX Euro II",Hyundai,Kochi,2008,80759,Petrol,Manual,Third,17,1086,NULL,5,,1.67,NULL
144,"Toyota Fortuner 3.0 Diesel",Toyota,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171,7,,13.49,NULL
145,"Chevrolet Beat LT Option",Chevrolet,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,,2.85,NULL
146,"Skoda Rapid 1.5 TDI Elegance",Skoda,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,,4.75,NULL
147,"Maruti Ciaz 1.4 Alpha",Maruti,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,,9.9,NULL
148,"Audi RS5 Coupe",Audi,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444,4,128,37,71.09375
149,"BMW 3 Series Luxury Line",BMW,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190,5,60.88,26.5,56.47174770039422
150,"Audi A4 2.0 TDI 177 Bhp Premium Plus",Audi,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,,23.32,NULL
151,"Maruti Swift VDI",Maruti,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74,5,,6.25,NULL
152,"Mercedes-Benz S Class 2005 2013 S 500",Mercedes-Benz,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,,30,NULL
153,"Skoda Rapid 1.5 TDI AT Elegance Plus Black Package",Skoda,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,,9.86,NULL
154,"Skoda Superb Elegance 2.0 TDI CR AT",Skoda,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,,8.5,NULL
155,"Hyundai EON Magna Plus",Hyundai,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,,4.23,NULL
156,"Volkswagen Polo Diesel Trendline 1.2L",Volkswagen,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,,3.5,NULL
157,"Datsun GO NXT",Datsun,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,,2.5,NULL
158,"Honda Brio S MT",Honda,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,,2.39,NULL
159,"Mercedes-Benz B Class B180",Mercedes-Benz,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,,11.25,NULL
160,"Honda City i DTEC V",Honda,Kochi,2015,42831,Diesel,Manual,First,26,1498,98.6,5,,7.11,NULL
161,"Toyota Innova 2.5 G (Diesel) 7 Seater",Toyota,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,,10.9,NULL
162,"Maruti Swift VXI Optional",Maruti,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,,6.2,NULL
163,"Mahindra XUV500 W8 2WD",Mahindra,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140,7,,7.9,NULL
164,"Ford Ecosport 1.5 DV5 MT Ambiente",Ford,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,,4.42,NULL
165,"Toyota Fortuner 4x2 Manual",Toyota,Mumbai,2012,131765,Diesel,Manual,First,13,2982,168.5,7,,13.5,NULL
166,"Volkswagen Vento 1.5 Highline Plus AT 16 Alloy",Volkswagen,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,,6.25,NULL
167,"Ford Figo Diesel Titanium",Ford,Jaipur,2010,66123,Diesel,Manual,Second,20,1399,68,5,,2.1,NULL
168,"BMW X5 xDrive 30d",BMW,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258,5,,45,NULL
169,"Mercedes-Benz New C-Class C 220 CDI Style",Mercedes-Benz,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,,33.66,NULL
170,"Honda Brio V MT",Honda,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,,3.65,NULL
171,"Hyundai i10 Magna 1.2",Hyundai,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,,2.75,NULL
172,"Mercedes-Benz GLC 220",Mercedes-Benz,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170,5,,42.5,NULL
173,"Hyundai Grand i10 1.2 Kappa Asta",Hyundai,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,7.39,6.5,12.04330175913396
174,"Audi A6 2011-2015 2.0 TDI Premium Plus",Audi,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,,19,NULL
175,"Volkswagen Vento Petrol Highline AT",Volkswagen,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,,4.45,NULL
176,"Mini Countryman Cooper D",Mini,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112,5,,23,NULL
177,"Hyundai i20 Asta 1.4 CRDi",Hyundai,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,,8.35,NULL
178,"Audi A6 2011-2015 2.0 TDI Premium Plus",Audi,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,,22.95,NULL
179,"Chevrolet Beat Diesel LT",Chevrolet,Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5,,1.5,NULL
180,"Skoda Superb Elegance 1.8 TSI AT",Skoda,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,,6.89,NULL
181,"Ford Fiesta 1.4 TDCi EXI Limited Edition",Ford,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68,5,,1.45,NULL
182,"BMW 5 Series 520d Luxury Line",BMW,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190,5,69.47,33.5,51.77774578954944
183,"Chevrolet Optra Magnum 1.6 LS BS3",Chevrolet,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,,1.25,NULL
184,"Volkswagen Polo Diesel Highline 1.2L",Volkswagen,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,,4.2,NULL
185,"Renault Lodgy 110PS RxZ 8 Seater",Renault,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,,6.75,NULL
186,"Mercedes-Benz E-Class E250 CDI Avantgrade",Mercedes-Benz,Bangalore,2014,37382,Diesel,Automatic,First,13,2143,201.1,5,,32,NULL
187,"Maruti Baleno Alpha",Maruti,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,8.78,7.5,14.578587699316623
188,"Hyundai Verna 1.6 SX",Hyundai,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,,4.6,NULL
189,"Hyundai i10 Magna 1.1",Hyundai,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,,4.04,NULL
190,"Mahindra Scorpio 1.99 S10 4WD",Mahindra,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120,7,,10.31,NULL
191,"Land Rover Range Rover 2.2L Dynamic",Land,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,,55.76,NULL
192,"Ford Figo Diesel ZXI",Ford,Chennai,2010,120000,Diesel,Manual,First,20,1399,68,5,,2.6,NULL
